category	cohort	sample	file_type	key	url	size_bytes	last_modified
sample	Mtb151	N1272	lr_full_depth_crai	samples/Mtb151/N1272/N1272.LR.AlnToH37Rv.primary_only.cram.crai	https://pub-4ffd5d52d77a41f7b1f7021fbd09c3d2.r2.dev/samples/Mtb151/N1272/N1272.LR.AlnToH37Rv.primary_only.cram.crai	8119	2026-07-20T14:05:45Z
sample	Mtb151	N1272	lr_full_depth_cram	samples/Mtb151/N1272/N1272.LR.AlnToH37Rv.primary_only.cram	https://pub-4ffd5d52d77a41f7b1f7021fbd09c3d2.r2.dev/samples/Mtb151/N1272/N1272.LR.AlnToH37Rv.primary_only.cram	1245897071	2026-07-20T14:05:44Z
sample	Mtb151	N1272	asm_crai	samples/Mtb151/N1272/N1272.mm2.AsmToH37Rv.asm10.cram.crai	https://pub-4ffd5d52d77a41f7b1f7021fbd09c3d2.r2.dev/samples/Mtb151/N1272/N1272.mm2.AsmToH37Rv.asm10.cram.crai	67	2026-07-20T14:05:48Z
sample	Mtb151	N1272	asm_cram	samples/Mtb151/N1272/N1272.mm2.AsmToH37Rv.asm10.cram	https://pub-4ffd5d52d77a41f7b1f7021fbd09c3d2.r2.dev/samples/Mtb151/N1272/N1272.mm2.AsmToH37Rv.asm10.cram	870278	2026-07-20T14:05:47Z
sample	Mtb151	N1274	lr_100x_crai	samples/Mtb151/N1274/N1274.LR.AlnToH37Rv.Subsample100x.cram.crai	https://pub-4ffd5d52d77a41f7b1f7021fbd09c3d2.r2.dev/samples/Mtb151/N1274/N1274.LR.AlnToH37Rv.Subsample100x.cram.crai	2304	2026-07-23T16:44:47Z
sample	Mtb151	N1274	lr_100x_cram	samples/Mtb151/N1274/N1274.LR.AlnToH37Rv.Subsample100x.cram	https://pub-4ffd5d52d77a41f7b1f7021fbd09c3d2.r2.dev/samples/Mtb151/N1274/N1274.LR.AlnToH37Rv.Subsample100x.cram	340720904	2026-07-23T16:44:44Z
sample	Mtb151	N1274	lr_full_depth_crai	samples/Mtb151/N1274/N1274.LR.AlnToH37Rv.primary_only.cram.crai	https://pub-4ffd5d52d77a41f7b1f7021fbd09c3d2.r2.dev/samples/Mtb151/N1274/N1274.LR.AlnToH37Rv.primary_only.cram.crai	7684	2026-07-20T14:06:01Z
sample	Mtb151	N1274	lr_full_depth_cram	samples/Mtb151/N1274/N1274.LR.AlnToH37Rv.primary_only.cram	https://pub-4ffd5d52d77a41f7b1f7021fbd09c3d2.r2.dev/samples/Mtb151/N1274/N1274.LR.AlnToH37Rv.primary_only.cram	1141172174	2026-07-20T14:06:00Z
sample	Mtb151	N1274	asm_crai	samples/Mtb151/N1274/N1274.mm2.AsmToH37Rv.asm10.cram.crai	https://pub-4ffd5d52d77a41f7b1f7021fbd09c3d2.r2.dev/samples/Mtb151/N1274/N1274.mm2.AsmToH37Rv.asm10.cram.crai	68	2026-07-20T14:06:04Z
sample	Mtb151	N1274	asm_cram	samples/Mtb151/N1274/N1274.mm2.AsmToH37Rv.asm10.cram	https://pub-4ffd5d52d77a41f7b1f7021fbd09c3d2.r2.dev/samples/Mtb151/N1274/N1274.mm2.AsmToH37Rv.asm10.cram	808198	2026-07-20T14:06:02Z
sample	Mtb151	QC-1	lr_100x_crai	samples/Mtb151/QC-1/QC-1.LR.AlnToH37Rv.Subsample100x.cram.crai	https://pub-4ffd5d52d77a41f7b1f7021fbd09c3d2.r2.dev/samples/Mtb151/QC-1/QC-1.LR.AlnToH37Rv.Subsample100x.cram.crai	1443	2026-07-23T17:08:52Z
sample	Mtb151	QC-1	lr_100x_cram	samples/Mtb151/QC-1/QC-1.LR.AlnToH37Rv.Subsample100x.cram	https://pub-4ffd5d52d77a41f7b1f7021fbd09c3d2.r2.dev/samples/Mtb151/QC-1/QC-1.LR.AlnToH37Rv.Subsample100x.cram	229991495	2026-07-23T17:08:49Z
sample	Mtb151	QC-1	lr_full_depth_crai	samples/Mtb151/QC-1/QC-1.LR.AlnToH37Rv.primary_only.cram.crai	https://pub-4ffd5d52d77a41f7b1f7021fbd09c3d2.r2.dev/samples/Mtb151/QC-1/QC-1.LR.AlnToH37Rv.primary_only.cram.crai	1427	2026-07-20T14:06:08Z
sample	Mtb151	QC-1	lr_full_depth_cram	samples/Mtb151/QC-1/QC-1.LR.AlnToH37Rv.primary_only.cram	https://pub-4ffd5d52d77a41f7b1f7021fbd09c3d2.r2.dev/samples/Mtb151/QC-1/QC-1.LR.AlnToH37Rv.primary_only.cram	230099851	2026-07-20T14:06:07Z
